brand;tariff;model;motorization;finishing;engine;gear
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L2H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L2H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-Gen L1H1 1000 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L2H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L2H1 1200 dCi 90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L2H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L2H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L2H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1200 dCi 90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1000 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1000 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1000 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1000 dCi 90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-CF L1H1 1000 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1000 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1000 dCi90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1000 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1000 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1000 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1200 dCi90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1000 Energy dCi 140;dCi 140 Energy;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L1H1 1200 Energy dCi 140;dCi 140 Energy;Manuelle
RENAULT;2203;ESPACE;Diesel;Life Energy dCi 130 ECO2;dCi 130;Manuelle
RENAULT;2203;ESPACE;Essence;Initiale Paris Energy TCe 200 EDC;Tce 200;Automatique
RENAULT;2203;ESPACE;Diesel;Initiale Paris Energy dCi 160 EDC;dCi 160;Automatique
RENAULT;2203;ESPACE;Diesel;Intens Energy dCi 160 EDC;dCi 160;Automatique
RENAULT;2203;ESPACE;Essence;Intens Energy TCe 200 EDC;Tce 200;Automatique
RENAULT;2203;ESPACE;Diesel;Zen Energy dCi 160 EDC;dCi 160;Automatique
RENAULT;2203;ESPACE;Essence;Zen Energy TCe 200 EDC;Tce 200;Automatique
DACIA;2204;LOGAN MCV;Essence;Prestige TCe 90 E6;TCe 90;Manuelle
DACIA;2204;LOGAN MCV;Essence;Ambiance TCe 90 E6;TCe 90;Manuelle
DACIA;2204;LOGAN MCV;Essence;Ambiance 1.2 16V 75 E6;1.2 16V 75;Manuelle
DACIA;2204;LOGAN MCV;Essence;Lauréate TCe 90 E6;TCe 90;Manuelle
DACIA;2204;LOGAN MCV;Essence;Logan 1.2 16V 75 E6;1.2 16V 75;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3500 L2H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L2H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L2H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L2H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L2H2 dCi 150 BVR;dCi 150;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L2H2 dCi 150 BVR;dCi 150;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L2H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L2H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L2H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L2H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3500 L2H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3500 L2H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L2H2 dCi 125 BVR;dCi 125;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L2H2 dCi 125 BVR;dCi 125;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf TracF3300 L1H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L1H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L1H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L1H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L1H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L1H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf PropR3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Propu R3500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf PropRJ3500 L3H2Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Propu RJ3500 L3H2 dCi150BVR;dCi 150;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf PropR3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf PropRJ3500 L3H2Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Propu RJ3500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L3H2 dCi 150 BVR;dCi 150;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L3H2 dCi 125 BVR;dCi 125;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L3H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3500 L3H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3500 L3H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L1H1 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L1H1 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L1H1 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf TracF3300 L1H1 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA GCf Trac F3300 L1H1 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf PropuR3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf PropuR3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf PropRJ3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Propu R3500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Propu RJ3500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf PropRJ3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H1 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H1 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf TracF3300 L1H1 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H1 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L1H1 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L2H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L2H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf TracF3500 L2H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L2H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L2H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L2H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L2H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3300 L2H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L2H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf TracF3300 L2H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L3H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L3H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L3H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf Trac F3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;CA Cf TracF3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf PropRJ3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf PropRJ3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Propu RJ3500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf PropRJ4500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Propu R3500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf PropuR3500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf PropuR3500 L3H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Propu RJ4500 L3H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf PropRJ4500 L3H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf TracF3500 L1H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3500 L1H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3300 L1H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3300 L1H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3500 L1H2 dCi 110 S&S;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3500 L1H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3300 L1H2 dCi 110;dCi 110;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3300 L1H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf TracF3300 L1H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3500 L1H2 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf PropRJ3500 L4H2Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf PropRJ3500 L4H2Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf Propu RJ3500 L4H2 dCi150BVR;dCi 150;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf PropR3500 L4H2 Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf Propu RJ4500 L4H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf PropRJ4500 L4H2Energy dCi 135;dCi 135;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf PropR3500 L4H2 Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf Propu RJ3500 L4H2 dCi 125+;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf PropRJ4500 L4H2Energy dCi 165;dCi 165;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG GCf Propu RJ4500 L4H2 dCi150BVR;dCi 150;Automatique
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3500 L3H3 dCi 125;dCi 125;Manuelle
RENAULT;2203;MASTER VU Transports fermés;Diesel;FG Cf Trac F3500 L3H3 Energy dCi 165;dCi 165;Manuelle
